NCM;DESCRICAO
03031400;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)
03031900;-- Outros
03032;- Til pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabe a-de-serpente (Channa spp.), exceto subprodutos comest veis de peixes das subposi  es 0303.91 a 0303.99:
03032300;-- Til pias (Oreochromis spp.)
030324;-- Bagres (Peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)
03032410;Bagre americano (Ictalurus punctatus)
03032490;Outros
03032500;-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)
03032600;-- Enguias (Anguilla spp.)
03032900;-- Outros
03033;- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto subprodutos comest veis de peixes das subposi  es 0303.91 a 0303.99:
03033100;-- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)
03033200;-- Solha (Pleuronectes platessa)
03033300;-- Linguados (Solea spp.)
03033400;-- Pregado (Psetta maxima)
03033900;-- Outros
03034;- Atuns (do g nero Thunnus), bonito-listrado (gaiado*) (Katsuwonus pelamis), exceto subprodutos comest veis de peixes das subposi  es 0303.91 a 0303.99:
03034100;-- Albacora-branca (atum) (Thunnus alalunga)
03034200;-- Albacora-laje (atum) (Thunnus albacares)
03034300;-- Bonito-listrado (Gaiado*) (Katsuwonus pelamis)
03034400;-- Albacora-bandolim (atum) (Thunnus obesus)
03034500;-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis)
03034600;-- Atum-azul do sul (atum) (Thunnus maccoyii)
03034900;-- Outros
