NCM;DESCRICAO
03024300;-- SARDINHAS (SARDINA PILCHARDUS, SARDINOPS SPP., SARDINELLA SPP.) (SARDINHA (SARDINA PILCHARDUS) E SARDINELAS (SARDINOPS SPP., SARDINELLA SPP.)*), ANCHOVETA (ESPADILHA*) (SPRATTUS SPRATTUS)
03024400;-- CAVALINHAS (SARDAS E CAVALAS*) (SCOMBER SCOMBRUS, SCOMBER AUSTRALASICUS, SCOMBER JAPONICUS)
03024500;-- CARAPAUS (TRACHURUS SPP.)
03024600;-- BIJUPIR  (COBIA*) (RACHYCENTRON CANADUM)
03024700;-- ESPADARTE (XIPHIAS GLADIUS)
030249;-- OUTROS
03024910;ESPADINS, MARLINS, VELEIROS (ISTIOPHORIDAE)
03024990;OUTROS
03025;- PEIXES DAS FAM LIAS BREGMACEROTIDAE, EUCLICHTHYIDAE, GADIDAE, MACROURIDAE, MELANONIDAE, MERLUCCIIDAE, MORIDAE E MURAENOLEPIDIDAE, EXCETO SUBPRODUTOS COMEST VEIS DE PEIXES DAS SUBPOSI  ES 0302.91 A 0302.99:
03025100;-- BACALHAU-DO-ATL NTICO (GADUS MORHUA), BACALHAU-DA-GROEL NDIA (GADUS OGAC) E BACALHAU-DO-PAC FICO (GADUS MACROCEPHALUS)
03025200;-- HADOQUE (ARINCA*) (MELANOGRAMMUS AEGLEFINUS)
03025300;-- SAITHE (ESCAMUDO*) (POLLACHIUS VIRENS)
03025400;-- MERLUZAS (PESCADAS*) E ABR TEAS (MERLUCCIUS SPP., UROPHYCIS SPP.)
03025500;-- POLACA-DO-ALASCA (ESCAMUDO-DO-ALASCA*) (THERAGRA CHALCOGRAMMA)
03025600;-- VERDINHOS (MICROMESISTIUS POUTASSOU, MICROMESISTIUS AUSTRALIS)
03025900;-- OUTROS
03027;- TIL PIAS (OREOCHROMIS SPP.), BAGRES (PEIXES-GATO*) (PANGASIUS SPP., SILURUS SPP., CLARIAS SPP., ICTALURUS SPP.), CARPAS (CYPRINUS SPP., CARASSIUS SPP., CTENOPHARYNGODON IDELLUS, HYPOPHTHALMICHTHYS SPP., CIRRHINUS SPP., MYLOPHARYNGODON PICEUS, CATLA CATLA, LABEO SPP., OSTEOCHILUS HASSELTI, LEPTOBARBUS HOEVENI, MEGALOBRAMA SPP.), ENGUIAS (ANGUILLA SPP.), PERCA-DO-NILO (LATES NILOTICUS) E PEIXES CABE A-DE-SERPENTE (CHANNA SPP.), EXCETO SUBPRODUTOS COMEST VEIS DE PEIXES DAS SUBPOSI  ES 0302.91 A 0302.99:
03027100;-- TIL PIAS (OREOCHROMIS SPP.)
030272;-- BAGRES (PEIXES-GATO*) (PANGASIUS SPP., SILURUS SPP., CLARIAS SPP., ICTALURUS SPP.)
03027210;BAGRE AMERICANO (ICTALURUS PUNCTATUS)
03027290;OUTROS
03027300;-- CARPAS (CYPRINUS SPP., CARASSIUS SPP., CTENOPHARYNGODON IDELLUS, HYPOPHTHALMICHTHYS SPP., CIRRHINUS SPP., MYLOPHARYNGODON PICEUS, CATLA CATLA, LABEO SPP., OSTEOCHILUS HASSELTI, LEPTOBARBUS HOEVENI, MEGALOBRAMA SPP.)
03027400;-- ENGUIAS (ANGUILLA SPP.)
03027900;-- OUTROS
03028;- OUTROS PEIXES, EXCETO SUBPRODUTOS COMEST VEIS DE PEIXES DAS SUBPOSI  ES 0302.91 A 0302.99:
03028100;-- CA  O E OUTROS TUBAR ES
03028200;-- RAIAS (RAJIDAE)
030283;-- MERLUZA NEGRA E MERLUZA ANT RTICA (MARLONGAS*) (DISSOSTICHUS SPP.)
03028310;MERLUZA NEGRA (DISSOSTICHUS ELEGINOIDES)
03028320;MERLUZA ANT RTICA (DISSOSTICHUS MAWSONI)
03028400;-- ROBALOS (DICENTRARCHUS SPP.)
03028500;-- ESPAR DEOS (SPARIDAE)
030289;-- OUTROS
03028910;PARGO (LUTJANUS PURPUREUS)
0302892;CHERNE-POVEIRO (POLYPRION AMERICANUS), GAROUPAS (ACANTHISTIUS SPP.), ESTURJ O (ACIPENSER BAERII) E PEIXES-REI (ATHERINA SPP.)
03028921;CHERNE-POVEIRO (POLYPRION AMERICANUS)
03028922;GAROUPAS (ACANTHISTIUS SPP.)
03028923;ESTURJ O (ACIPENSER BAERII)
03028924;PEIXES-REI (ATHERINA SPP.)
0302893;"CURIMAT S (PROCHILODUS SPP.), TIL PIAS (TILAPIA SPP., SAROTHERODON SPP., DANAKILIA SPP.; SEUS H BRIDOS), SURUBINS (PSEUDOPLATYSTOMA SPP.), TRA RA (HOPLIAS MALABARICUS & H. CF. LACERDAE), PIAUS (LEPORINUS SPP.), TAINHAS (MUGIL SPP.), PIRARUCU (ARAPAIMA GIGAS) E PESCADAS (CYNOSCION SPP.)"
03028931;CURIMAT S (PROCHILODUS SPP.)
03028932;"TIL PIAS (TILAPIA SPP., SAROTHERODON SPP., DANAKILIA SPP.; SEUS H BRIDOS)"
03028933;SURUBINS (PSEUDOPLATYSTOMA SPP.)
03028934;TRA RA (HOPLIAS MALABARICUS & H. CF. LACERDAE)
03028935;PIAUS (LEPORINUS SPP.)
03028936;TAINHAS (MUGIL SPP.)
03028937;PIRARUCU (ARAPAIMA GIGAS)
03028938;PESCADAS (CYNOSCION SPP.)
0302894;PIRAMUTABA (BRACHYPLATYSTOMA VAILLANTII), DOURADA (BRACHYPLATYSTOMA FLAVICANS), PACU (PIARACTUS MESOPOTAMICUS), TAMBAQUI (COLOSSOMA MACROPOMUM) E TAMBACU (H BRIDO DE TAMBAQUI E PACU)
03028941;PIRAMUTABA (BRACHYPLATYSTOMA VAILLANTII)
03028942;DOURADA (BRACHYPLATYSTOMA FLAVICANS)
03028943;PACU (PIARACTUS MESOPOTAMICUS)
03028944;TAMBAQUI (COLOSSOMA MACROPOMUM)
03028945;TAMBACU (H BRIDO DE TAMBAQUI E PACU)
03028990;OUTROS
03029;- F GADOS, OVAS, G NADAS MASCULINAS, BARBATANAS, CABE AS, CAUDAS, BEXIGAS-NATAT RIAS E OUTROS SUBPRODUTOS COMEST VEIS DE PEIXES:
030291;-- F GADOS, OVAS E G NADAS MASCULINAS
03029110;OVAS DE TAINHAS (MUGIL SPP.)
03029190;OUTROS
03029200;-- BARBATANAS DE TUBAR O
03029900;-- OUTROS
0303;PEIXES CONGELADOS, EXCETO OS FIL S (FILETES) DE PEIXES E OUTRA CARNE DE PEIXES DA POSI  O 03.04.
03031;- SALMON DEOS, EXCETO SUBPRODUTOS COMEST VEIS DE PEIXES DAS SUBPOSI  ES 0303.91 A 0303.99:
03031100;-- SALM O-DO-PAC FICO (SALM O-VERMELHO) (ONCORHYNCHUS NERKA)
03031200;-- OUTROS SALM ES-DO-PAC FICO (ONCORHYNCHUS GORBUSCHA, ONCORHYNCHUS KETA, ONCORHYNCHUS TSCHAWYTSCHA, ONCORHYNCHUS KISUTCH, ONCORHYNCHUS MASOU E ONCORHYNCHUS RHODURUS)
